,Dates,Ratings,Titles,Bodys
0,2023-02-20,5,Durable Solid excellent,Superlike
1,2023-02-14,5,Great quality,Fantastic
2,2022-12-08,4,Nice Product,Everything Nice. The Filter connection fitting was not standard size difficult to get the fitting in local shops. Pls. Make it standard so that it will helpful.
3,2023-01-22,5,After 1.5year Review | Excellence at it best,"Posting this review after 1.5year of usage.This machine works like magic and is super easy to use.Very clean clothes, low noise levels, superb engineering by Bosch, excellent user convenience."
4,2023-01-28,5,Nicee product,Washing quality is praise worthy.
5,2022-12-16,5,The best washing machine ever !!!!,"I have heard people saying , washing machine is not that usefull for too dirty clothes  and clothes won't get cleaned properly but after using this washing machine I felt this is just a misconception.Clothes are getting super clean. My whole family is happy with Bosch WM.No other thoughts , don't even think twice just go for it 💯Thank you Bosch and Thank you Amazon ❣️"
6,2023-01-01,3,The foam of the surf remains in the water while the last wave of water should be clear.,It rinses the clothing with  not clean water out after washThe foam of the surf remains in the water while the last wave of water should be clear.
7,2016-10-12,2,Dont even think about it !,"Amazon delivered the product in one day flat ! But thats where all the the good experiences ended. What followed was a harrowing ordeal with the service agents to get installation done.We called up customer service to schedule installation/demo. The guy told us we'd have to wait for 48 hours. He didnt give us any SR number either. Next day we got a call from the local (Kolkata) servicing agents who asked us to ""confirm"" a lot of things before he could schedule the installation/demo. This included installation of a 15 Ampere power point socket next to the machine, pre-installed water inlet with 3/4 or 1/2 inch stop cock and water outlet with complete plumbing done amongst other things. Then he went on rambling about selling us accessories, extended warranty and 1/2 inch to 3/4 inch converters for 200 bucks. Since we were already using a Samsung automatic at the same spot prior to purchasing the Bosch, we figured everything was in order except the size of the stop cock outlet which we werent sure of. We checked it and found it had a 1/2 inch outlet. We got a plumber to install a 3/4 inch stopcock since we could get a 3/4 inch stopcock for less than the amount being charged for converter. We called back at the landline number to confirm. The guy (Mr Biswas) instead of confirming the installation call, kept on harping about accessories (machine cover, desilicating powder and what not) which we should be ordering (so that the installation guy could carry them with him). We said we didnt need anything. After a lot of argument, he finally scheduled a call. Next day a thin guy appeared for installation/demo. Almost as if we were expected to unpack and move the one tonne machine ourselves which is what we had done anyways. He quickly checked a few things and said the machine couldnt be installed. When we asked him the reason, he simply said the stopcock outlet measurement didnt match with the water supply hose provided by the company. We checked the hose and sure enough it didnt match. But that was because it was 1 inch in diameter. We told him we had got the plumbing done as per his requirement only. Instead of accepting that wrong specifications were provided or looking for alternate solutions (getting us to purchase a 3/4 inch to 1 inch converter from nearby shop), he refused to even accept the measurements. Like a madman he kept on insisting that our stopcock was 1/2 inch and the supply hose was 3/4 inches. By this time we were thoroughly irritated so we asked him to just open the transport locks and leave it at that so that we could install the machine ourselves. He said if he did that, the installation would be deemed complete and he would not come back again. We knew we had made a blunder. If this is what was happening during installation, God knows what will happen when there'll be a bigger problem down the line. For our part, we refused to sign the service sheet so that he couldnt claim the installation cost from the company. What we learnt the hard way :-(1) There is no such thing as ""installation"". The service agents extort a lot of money from the company in the name of installation but the entire expense and the headache lies completely with the customer. The service agent will come just to push the start button and claim installation money from the company.(2) Even if customer is okay with bearing all the plumbing expenses, the agents will mislead them about the specifications of the stopcock, etc so that they can sell converters at obnoxious prices.(3) The agents/company have a distinctly hands-offish approach to handling their customers. They wont provide SR numbers. They wont provide mobile numbers. They wont provide visiting cards. You cant even register/check your warranty online. So that if any problem arises (eg., there is a service audit or someone files a suit), they can deny everything and claim ""no accountability"".(4) The screws/bolts are all proprietary and its next to impossible for the user to unfasten them without specialised equipment.(5) The instruction manual provided with the machine is complete zilch. It is not even model specific, forget about carrying basic details such as power requirements, clearance requirements for installation, program load/timing variations, etc. Pathetic and simply not expected from a company like Bosch !But as they say in this country, you can get away with anything :-("
8,2016-05-29,5,Good product but horrible customer service.,"Wonderful product. Has everything and even more than what i needed. But the customer service is very poor. It took too weeks to run the machine.When i dialed their toll free number on the first day, they took the purchase details and my address and told me that a representative will be sent after 48 hours.When i called on the 3rd day, the executive asked me whether the machine is fitted completely. When i said no, he told right away that he would come only after the machine is fitted completely and only to show the Demo. I was angry but didn't show it outside and just replied, 'i will call you after fitting the machine sir'. Seriously, what do they think of us, are we so dumb to not even know how to use the machine. What is the use of customer service when they don't come to fit the machine?I went through the manual completely and found that the machine should be leveled using spirit level and the machine requires proper pressure. How am i supposed to do that myself without any of those devices in my home. When i called the customer care they asked me to ignore those instructions and fit the machine. Irritated to the core, i assembled the machine as instructed in the manual. Replaced the tap with a new universal water tap sold for specially for washing machines. When i connected the hose to the tap it slipped without sitting tightly with the tap. There was heavy water leakage. Got a plumber next day and he asked me to replace the hose with a third party hose. He said that the hose is too small and doesn't fit with the tap properly. Didn't understand whether it was tap's fault or the hose's fault, just followed what the plumber said.Felt happy that the assembly was complete and when i tried to plugin the machine, the pin was way too big and didn't fit inside the socket. Confused what size of socket or how many amps it requires, i called the customer care again. This time he said he was free and will come to my home if the machine is assembled and that he is available only for today. Still i didn't raise my voice and just told my situation. He asked me to buy a 16 Amps socket to fit the machine.I bought the socket and that too was so big. I couldn't replace it with the small socket in my switch board and had to cut the switchboard with hacksaw blade all by myself and fit the socket. All set and done. Switched on the machine. Selected the Drum clean program as the manual instructed me to do before the first use. Went well suddenly an error appeared ""E:17"". I was damned, palm on my face.Again called the customer care and he told that there is some pressure problem and asked me not to do anything until the executive arrives.They sent a technician next day and he refitted the hose and tap with extra accessories which came along with the hose. The device worked perfectly.I was not happy at all. I raged on that person to change the way they serve the customers. My concern is, i could go through the manual fit the machine but what about the illiterate people who buy the machine. How are they supposed to read the manual which is in English and fit the machine.If the machine is assembled without proper leveling and encounters any repair, then the warranty is void. Either they should inform what are the accessories required and how the machine should be installed in Indian conditions or they should do all the work by themselves. I'm not some electrician or plumber to do the work all by myself.I'm sure they won't change citing their time constraints of their representatives so, customers we have to ask about their customer service beforehand. My kind advice is, whatever be the brand of washing machine you buy, ask the customer care to give the complete instructions according to your home conditions."
9,2021-06-27,4,Good and efficient,"Good and sturdy.Very efficient.Exchange was smooth and hassle free.Wash and rinse cycles are really quiet but sometimes the spin cycle is a bit noisy but not at a bothering level.There is an option to change temperature in every wash cycle you choose. You just need to click on the touch button.Child lock is available to restrict kids from changing the cycle or pressing the touch screen button.Reload button helps you to add or remove any clothes while the machine is on.Spin is very efficient. Clothes are drier than they were in our old Samsung washing machine which means they dry up faster.We exchanged a 12 year old top load 6.2kg Samsung washing machine while buying this. Even though this one is 7kg, my observation is that this one can take fewer clothes than my old one.One downside is that this doesn’t have any handles or provision on the sides to lift it up while shifting.Please note the below:Firstly, It is brand installation which means Amazon will not order demo and installation from Bosch. So, please call Bosch and request for demo and installation immediately after you receive the delivery.We were misguided by the delivery person and unnecessarily lost time waiting that Bosch would contact us. We actually unboxed and installed by ourselves taking help from internet.Second, please purchase “ ELITE PRODUCTS Bosch and IFB Thread Type Faucet Water Tap Adapter for Washing Machine Inlet Pipe” from Amazon or any other similar one you find. You will need this if you have the kind of faucet I have shown in my photos. This adapter is not easily found in hardware stores. So better order this together when you order the washing machine.Overall I’m very satisfied with the product.Highly recommended."
